,x,y
2080,18.03544,-43.22668
236,1.8050966,17.516655
741,-20.283293,-9.775541
380,-16.062637,22.82
1446,-11.569885,13.275493
997,-27.329807,21.213608
1726,-9.007349,21.219822
757,-18.079494,16.173166
2125,11.903837,-41.968563
381,-22.568977,4.276491
2131,6.7397075,-41.774433
627,-16.497948,-3.2420702
1782,5.006537,-13.0582485
1874,-27.927198,-9.148496
347,-14.232778,17.49576
1048,17.231201,21.361946
947,-22.054735,23.05203
1244,26.994217,17.24504
1005,-6.9769006,9.39866
1877,4.991362,-21.837072
447,1.938238,-3.866329
1377,22.143723,4.054605
2055,6.8096566,-43.489647
440,1.5462595,-4.391112
1852,-9.112117,-4.501762
1906,-2.088247,-17.82128
708,-15.550131,-6.8563957
1065,0.4907715,-19.605764
430,5.0662723,1.466659
59,-17.562794,5.895848
1116,-6.7562027,-2.460319
566,31.5698,2.228144
1762,4.184165,15.819253
273,-14.682866,9.970691
51,6.3371134,4.981169
746,23.278076,1.3341241
178,-24.257708,7.2626543
2049,13.29112,-41.04807
155,-16.067612,11.82872
983,33.015778,9.040861
1708,-25.152029,21.585314
880,5.71631,16.179989
2098,8.692099,-40.754925
384,-4.1655955,10.095529
1640,7.0061464,0.31660265
2093,8.495772,-42.308025
511,-24.005444,-11.825993
1764,-25.342974,6.8062105
1817,-10.538524,7.648835
1604,-6.499238,12.598778
900,-18.498476,-16.797426
490,10.683945,-11.934051
1034,-9.786084,7.253683
2013,8.675772,-36.99828
144,-17.382277,10.717826
545,1.4836748,-4.922484
310,-17.747795,15.162242
750,-7.2953835,-17.501932
465,11.782994,-10.480566
1898,9.327641,-22.26965
146,-9.789422,16.169155
1843,18.45197,1.2960875
963,-14.133059,19.936949
1337,23.689236,-2.7056684
1913,0.24181272,-10.056096
1063,36.768543,7.652542
258,-0.5547493,14.534219
498,13.502153,-13.906463
1512,-6.1265187,1.6301078
25,3.9221182,-11.567069
444,0.6082719,-4.852474
130,-12.94586,0.53924525
1474,-25.560827,11.579555
696,16.800692,-5.1423864
916,-7.2751,16.592617
1001,-7.405735,22.532633
1857,10.26348,-23.161758
1864,0.956303,-15.218814
1513,-3.5518885,2.0033379
1495,-22.14463,5.871979
646,18.003056,-7.1888814
240,-17.568344,14.715722
290,-26.537958,24.356964
1967,19.233345,2.7176383
2095,7.302451,-39.081047
153,-27.830017,8.25233
914,36.969555,6.3821707
1385,0.37468204,-18.373146
1519,11.969233,-11.471627
1777,-17.493176,4.8854933
476,14.6014185,-8.149439
468,13.329535,-10.84563
823,-12.841129,20.183104
1965,17.095798,6.8277564
16,-2.3333576,-6.284006
1943,-6.0737514,-2.982648
2007,11.766567,-41.418327
35,-12.965734,-6.1263986
1986,8.583522,14.117762
1318,12.213586,11.30353
732,-13.704306,14.867821
1343,-14.98691,-20.966024
844,11.532825,21.402325
1839,2.5630567,-0.36163583
1126,-0.7348766,-19.773146
811,-20.80101,1.1747586
881,-20.659163,3.2321417
154,9.239194,18.229034
1030,31.66801,5.907758
1019,-5.224634,-8.816871
2063,14.927433,-40.95764
977,0.35041916,-18.4536
1423,23.292534,6.896645
68,5.0768156,18.980827
351,-2.2068315,14.875759
78,-10.268617,14.834835
1719,-5.1998615,15.042099
603,-11.30832,-7.0263486
42,0.45700634,8.936279
535,28.158625,-6.888907
570,3.0550694,-5.5533285
1329,4.675014,9.409097
2031,11.013707,-40.112755
1223,2.5882142,-10.5363865
1982,-5.801342,4.8642416
1627,-11.523884,-9.655832
864,-5.553718,-20.547941
1120,-4.991324,-4.836987
2099,17.93103,-42.38537
625,-7.6126814,16.144709
5,-6.510307,8.483274
2027,12.807288,-41.457905
1278,-14.171966,-1.9740134
417,-5.242423,2.572321
887,32.679268,4.8760023
1862,-8.038739,-8.225285
1165,-6.4090567,-5.299707
660,20.919355,14.243424
63,-24.232212,14.3907175
636,-18.031145,-9.368161
634,31.61905,-3.435235
200,26.026869,2.155414
360,-9.20781,1.162053
162,38.139645,6.4719086
611,13.815758,16.126858
1135,-6.1057205,20.206629
161,23.547335,9.766224
701,-13.299896,5.821672
338,-10.550472,9.078869
1654,-14.078448,-3.7383695
1778,31.834356,6.306889
1186,-11.399906,-4.331885
1456,4.596999,17.692898
120,-8.38857,12.609794
86,-11.625819,3.7425818
876,8.324071,9.579865
1923,28.177135,0.41655484
1196,-4.5540338,-14.524231
648,15.413169,-6.890872
591,20.294134,-20.11927
1745,-16.620659,13.530849
853,-13.313528,17.461727
912,-21.093819,-0.7253921
1811,-14.819836,-1.5190859
1541,-7.6179414,-9.254524
1681,20.091057,5.0859838
1706,11.67993,19.280035
308,-17.912594,1.6805387
1341,-0.5233228,0.45683208
262,24.226028,7.195939
402,16.805302,18.469542
1531,8.302296,-6.003043
1255,-12.356398,-5.922647
771,-2.2987094,-23.75695
1225,-3.5533452,-18.079828
463,27.962267,-3.661064
774,9.203828,-7.374827
1453,-15.806096,8.079406
281,3.2155252,7.946526
1660,-0.7458708,-2.2468371
635,13.123163,-13.226771
809,-23.506584,-5.63045
77,-18.152187,12.769737
416,-3.3135989,2.0648313
382,-16.236448,3.7135751
1840,14.642685,-0.9751619
1995,12.781851,-40.825874
1937,13.554913,11.682997
1293,18.066605,-40.96859
686,-15.580974,14.669798
833,35.647987,9.837782
848,-18.79719,7.079334
228,8.435185,19.639948
510,6.754351,-4.5402737
165,31.1884,7.1425157
1929,0.20928313,-10.118435
1398,15.422943,15.92004
57,-24.198305,-2.6589725
932,8.309087,19.836271
451,3.0817983,-3.4032423
443,2.0096593,-4.084373
1328,-5.09082,-8.185123
1432,-14.113166,-0.06955262
2002,13.649668,-39.449066
1510,28.870098,3.4075274
488,18.044643,-10.593922
2064,11.425944,-39.607544
873,-25.279552,22.72821
1167,5.727921,-20.869377
1941,-26.003181,1.7385142
1856,6.121053,-11.036705
1288,-8.108743,-6.097917
1351,-6.2510867,-2.5395644
1888,-0.14556327,-11.705197
1657,1.3262856,-9.6711035
168,-30.37619,2.0252101
1265,-0.19037892,-8.942862
1884,-19.976555,19.27784
232,-5.5701103,-20.742735
1170,20.141626,12.056656
1774,6.319215,-21.39234
28,2.1990368,2.130338
691,14.343832,-9.41389
573,-23.861666,-7.986415
927,16.387178,1.3196326
1846,-27.913826,-7.327861
1090,-11.4121065,0.22588956
222,-14.106707,12.520295
1631,-14.968719,-10.525809
1916,-5.84484,-2.346023
211,-12.51676,13.857736
2024,9.041699,-43.42887
1009,-15.836694,-0.054745544
1023,30.2509,-6.0554695
1369,-5.5527124,-0.61466056
13,6.324727,-10.7212305
1,7.9142237,2.829766
158,-13.996425,10.232362
2017,9.189724,-44.127617
1810,-5.8355837,-9.365396
1507,-24.572699,3.4199305
672,30.426455,-3.9357
1789,-4.52071,-24.866404
176,-22.330566,-2.6418936
1970,-12.575067,-4.7767715
1000,32.41279,3.9181676
813,36.209766,-1.419446
1648,-17.17408,-0.92873704
747,10.099442,-6.107296
642,17.315535,3.9038522
494,12.077979,-11.65822
1972,-2.6755023,-17.26227
1098,-3.6573176,12.803923
877,-21.187876,11.465416
135,31.061813,4.649859
587,21.84535,11.178232
1547,7.446177,7.9906287
1310,13.185143,6.854462
638,-16.232386,-11.285937
116,24.423052,6.162161
270,-4.786822,11.192609
1311,-5.4114413,7.997281
181,-25.216967,20.321764
2124,8.904605,-39.692047
1250,-1.3678551,7.866547
2068,3.4607408,-37.84581
597,-3.0721414,18.987354
1724,-10.375925,13.695264
739,-17.10772,-0.39164928
1543,11.705626,10.189964
288,30.785757,7.8449144
242,-13.214156,8.107751
2111,7.371505,-39.819008
1822,-10.573288,7.928203
115,-24.180357,4.4085975
979,-26.090656,23.074497
1956,-0.75273407,-20.89514
935,-31.036003,-4.230835
598,22.943333,5.562519
579,10.952775,-2.9039836
1287,-4.7677164,-15.51293
1269,-0.77201134,-7.8331795
2074,9.34421,-44.49916
2034,7.000895,-40.2626
1610,-16.561237,-12.886329
137,30.32242,10.210797
163,-28.621233,2.6466901
341,-15.226341,11.3169365
246,-29.085756,9.539303
1424,-15.541099,10.469408
1849,26.467232,0.7720378
1730,-21.064852,28.25777
424,2.2177153,-6.9091053
458,-14.310143,-1.8454136
449,10.039901,-1.1391838
882,-7.273769,0.5873404
1910,38.018898,4.826283
1140,4.2969494,12.037535
659,15.700709,14.614316
778,9.092139,-2.0777726
647,-24.49779,13.2549715
731,-10.602579,23.108276
1416,-18.760141,11.386285
306,-15.273684,14.181418
1044,-7.5392537,17.86831
855,18.579607,-0.106920324
1904,-2.2975628,-18.088167
118,-18.825443,10.783256
783,16.170116,10.381138
177,-16.278814,14.256753
1753,28.61618,6.892128
2012,15.819323,-41.975945
2081,12.455365,-43.076756
1759,8.090142,9.75223
2105,6.655692,-43.56838
1866,0.83638436,-22.430676
1732,-1.0484957,-14.541692
2104,13.278784,-43.4982
92,-14.572835,6.288343
1618,-19.387285,-5.3633785
1291,-2.5265887,-18.044052
1290,-13.259774,-6.053616
2126,6.9464135,-37.88037
1455,21.866764,4.939589
1042,2.2249608,-5.6073112
235,-21.034302,5.0357184
1292,4.189838,-13.358594
567,-9.390737,-3.1843722
298,16.079353,22.344507
1137,-2.7577295,5.2622457
1239,0.94428855,-8.225772
1370,15.530312,-1.7827404
1504,-25.114187,2.4787958
744,3.2225757,-9.002549
1690,-17.95446,5.064285
346,20.100163,1.6498905
1022,21.91335,5.0072236
1367,-22.135767,-17.593473
786,33.332756,4.894057
1743,-10.176657,20.328682
1599,6.1337123,0.92246544
1490,-10.88629,-0.8813174
1711,-21.794022,8.984281
1984,33.37002,10.628936
1758,-14.980868,3.0175762
1263,-14.670811,-2.0466096
