,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim,params,split0_test_silhouette,split1_test_silhouette,split2_test_silhouette,split3_test_silhouette,split4_test_silhouette,split5_test_silhouette,split6_test_silhouette,split7_test_silhouette,split8_test_silhouette,split9_test_silhouette,mean_test_silhouette,std_test_silhouette,rank_test_silhouette,split0_test_calinski_harabasz,split1_test_calinski_harabasz,split2_test_calinski_harabasz,split3_test_calinski_harabasz,split4_test_calinski_harabasz,split5_test_calinski_harabasz,split6_test_calinski_harabasz,split7_test_calinski_harabasz,split8_test_calinski_harabasz,split9_test_calinski_harabasz,mean_test_calinski_harabasz,std_test_calinski_harabasz,rank_test_calinski_harabasz,split0_test_davies_bouldin,split1_test_davies_bouldin,split2_test_davies_bouldin,split3_test_davies_bouldin,split4_test_davies_bouldin,split5_test_davies_bouldin,split6_test_davies_bouldin,split7_test_davies_bouldin,split8_test_davies_bouldin,split9_test_davies_bouldin,mean_test_davies_bouldin,std_test_davies_bouldin,rank_test_davies_bouldin,split0_test_adjusted_rand_index,split1_test_adjusted_rand_index,split2_test_adjusted_rand_index,split3_test_adjusted_rand_index,split4_test_adjusted_rand_index,split5_test_adjusted_rand_index,split6_test_adjusted_rand_index,split7_test_adjusted_rand_index,split8_test_adjusted_rand_index,split9_test_adjusted_rand_index,mean_test_adjusted_rand_index,std_test_adjusted_rand_index,rank_test_adjusted_rand_index,split0_test_adjusted_mutual_info,split1_test_adjusted_mutual_info,split2_test_adjusted_mutual_info,split3_test_adjusted_mutual_info,split4_test_adjusted_mutual_info,split5_test_adjusted_mutual_info,split6_test_adjusted_mutual_info,split7_test_adjusted_mutual_info,split8_test_adjusted_mutual_info,split9_test_adjusted_mutual_info,mean_test_adjusted_mutual_info,std_test_adjusted_mutual_info,rank_test_adjusted_mutual_info,algo_name
0,1.0096964836120603,0.095960267636399,4.581063890457154,0.5056261254864812,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 2, 'reduce_dim': 'passthrough'}",0.0724631328102479,0.076560225144838,0.072712289982419,0.0754029175046026,0.076282663588993,0.0712299915437933,0.0755787596548513,0.0734033470904859,0.0760356509926979,0.071584304615061,0.074125328292799,0.0019518568636714,3,61.10037389660122,64.85249810920189,59.95076133827949,66.58439567501304,66.09129923364883,60.24937153024782,63.51506294669433,62.95559916278239,63.11928591893641,63.15470915965371,63.15733569710592,2.15327762704128,2,3.4057624519849794,3.3008495381404,3.44164980922419,3.230128631339336,3.2395992266376337,3.419670195416693,3.3227407727930607,3.3507136885454103,3.368442205923353,3.2257050881675373,3.3305261608172594,0.0762082207882293,23,0.1131195540867961,0.0930344692015022,0.1037921035590269,0.1008595244230313,0.1041688604464066,0.0999609209250715,0.1126810692378134,0.0968389345439676,0.0991924907062272,0.1032549985657809,0.1026902925695624,0.0060233983151453,27,0.1693900356565428,0.1350094351087755,0.1483188152616454,0.1513066089149227,0.1540196263962445,0.1456558437879625,0.1856011382238692,0.1336948939166837,0.1317477170263568,0.1707703071645138,0.1525514421457517,0.0169499370721878,45,KMeans
2,1.0711205005645752,0.0898560383360029,5.021679520606995,0.3813050461034967,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 3, 'reduce_dim': 'passthrough'}",0.0719111481274308,0.0590850049550105,0.0590294765680688,0.0708411944065404,0.0581095991055254,0.0556680051877518,0.0604548215906226,0.0701775723736427,0.0581061846185695,0.0576994229796976,0.062108242991286,0.0059308348523265,19,42.241164464604566,49.22182552577906,39.53411574504722,51.20693191781727,50.25583278087457,46.744879853155545,48.92611975538068,44.68011675998931,42.27283486030156,48.50119186116692,46.35850135241167,3.7584906445084862,4,2.992076097423814,3.280924079881481,4.171461743609382,3.2612397885393847,3.4735804636297587,3.4958643748630043,3.47952622470763,3.759000600550456,3.898571530770699,3.260137775053647,3.5072382679029253,0.3313507311028523,17,0.128297699137365,0.2049412383814405,0.1653066951261078,0.2067483856029327,0.2050210679936949,0.2002018048958819,0.2252902673269737,0.2157544378200409,0.1549310385837041,0.2233146591884572,0.1929807294056598,0.0306756201208992,22,0.2317680435154447,0.3075633386634425,0.2207939230226255,0.3134536245637921,0.3037965921981809,0.3119050481950023,0.3399445170904222,0.2807396718641312,0.2061489388692406,0.3391230964619513,0.2855236794444233,0.0464037448657896,22,KMeans
4,1.564032220840454,0.335682285721514,7.487297487258911,1.663569986016572,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 4, 'reduce_dim': 'passthrough'}",0.069397699661316,0.0683423320173123,0.0576718688658752,0.0675362529961179,0.0598440907576126,0.0580578220991249,0.0588813205329383,0.0580303943924284,0.0656305566405065,0.0559268194260887,0.0619319157389321,0.0048992316004325,20,40.592625550183705,40.429760727883966,42.42324753879859,43.71064497090616,41.29645497057311,42.00855854851669,40.21386240671135,43.07707762508626,44.11594950847075,43.15425412677936,42.102243597391,1.345445608658764,6,3.5017057293458422,3.596244010199767,3.4066935235129057,3.538638219157298,3.5043211211697,3.3948380002177245,3.546747977498716,3.4166433305183963,3.3720131881996704,3.41076683267618,3.4688611932496194,0.0737042636940042,18,0.3277402003185661,0.2809324106018245,0.3423645916083797,0.3584960220978352,0.242861854756448,0.321139350545625,0.247570577905753,0.340556255875328,0.361502035289083,0.334677225341007,0.315784052433985,0.0411686483472258,20,0.39386855231012,0.3524560762244611,0.4592717958980713,0.4049428042968556,0.3123547821192289,0.4362911642201829,0.3439031634193061,0.4487778032534936,0.4565858810193726,0.463953537504342,0.4072405560265434,0.0520847566940578,20,KMeans
6,1.3585288524627686,0.2972941001187383,6.858735704421997,1.4862446430086318,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 5, 'reduce_dim': 'passthrough'}",0.0717886195464142,0.0605755143094136,0.0635635597650497,0.0680976244396685,0.0618243084618647,0.0491993902109789,0.0723134658805806,0.0632154709615855,0.0712457972958285,0.0603429573564699,0.0642166708227854,0.0066955034482935,17,39.48664448736175,37.04279134910431,36.79787948085954,39.5360812924497,39.323307795093854,33.20959552548066,37.88086438556346,37.61794498776031,38.87793804493858,37.04383752887813,37.68168848774904,1.801723543815152,8,3.0932917308606944,3.372948050653318,3.3967729325844305,3.2650130257316983,3.301227449076265,3.667531210755341,3.3644053956975606,3.3109578908275656,3.2765738114104224,2.991573879666437,3.304029537726373,0.1713186299338059,25,0.3935942425278604,0.4132950895786159,0.377344777748571,0.3479152586334214,0.353905573271682,0.2498329880741847,0.3851519424008388,0.3847698414815834,0.3730322917189647,0.3202301054935044,0.3599072110929227,0.0442575404189144,18,0.5064267715978458,0.4382564092559303,0.4515965352299803,0.4306721113841755,0.4367311602875954,0.342554959841802,0.4682098801201279,0.4595578977595401,0.4473346664298679,0.4596915044334,0.4441031896340265,0.0394902090667897,18,KMeans
8,1.3451289415359498,0.1736210536896119,6.642050814628601,0.8347061193122565,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 6, 'reduce_dim': 'passthrough'}",0.0711353271393995,0.0645262086494622,0.0681664562703539,0.066095066320609,0.0672678008889098,0.0507467679916918,0.0689857964552692,0.0607538984535091,0.0616429880995927,0.0658205295092698,0.0645140839778067,0.0054853211570432,16,35.79440981985784,33.51126468077904,32.139369232911505,35.796115902123816,36.830182550344624,29.867737921920195,34.87017001823995,33.59637685789996,34.15452247611743,33.87306005526858,34.0433209515463,1.9019359228852533,10,3.159281019728301,3.366246798629025,3.5276316866296304,3.2132817452821327,3.152703533497613,3.383439784911142,3.1923938953223465,3.4338357456709327,3.300195561926884,3.191391629206018,3.2920401400804025,0.1236278529625739,26,0.4100746728380026,0.4193676932171782,0.4738264482409242,0.3362452736876083,0.357532386479322,0.2160419375748873,0.3437044177785295,0.4013700187972335,0.416651202287969,0.3913896725030582,0.3766203723404713,0.0660999871415609,15,0.492881529805483,0.4530776284501926,0.5137035607769856,0.4102902767494102,0.4439450221005411,0.3361770820883482,0.4470118935086857,0.4608650564719234,0.4718512470002526,0.477396420352282,0.4507199717304104,0.0467177247456762,17,KMeans
10,1.4138512372970582,0.2958823811778577,6.763375902175904,1.3938233974340242,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 7, 'reduce_dim': 'passthrough'}",0.0714671758203671,0.0690841086488154,0.0684068768490786,0.0640577347874938,0.0726897296447394,0.0599378952944839,0.061477187055067,0.0653172069077827,0.0676007927002286,0.0713862884860973,0.0671424996194154,0.0041220433594729,10,31.735352313382435,31.867230430906996,31.85831371352477,30.321537821076568,33.870317531176454,30.881508532215776,31.622980477807094,31.62607776303472,31.213661107393225,31.91924981676649,31.69162295072845,0.8734949477614922,12,3.276957339523168,3.197006676225027,3.103892644198357,3.03439426836684,3.146897197815931,3.149861893535994,3.302581572897554,3.22399282048979,3.3448227521907343,2.9838625105554866,3.176426967579888,0.1100717091064325,31,0.4437991157316304,0.4240424938559826,0.389634163008711,0.3425025555700757,0.4153352043609957,0.3407465069234306,0.3362736855558098,0.3849544536428707,0.419084602399714,0.424660754045209,0.392103353509443,0.0378049889240137,11,0.5055257650783205,0.4805255548260418,0.5182590980349614,0.4173775259057052,0.4762522021343203,0.4520203678421187,0.4251859351475588,0.4504109634365041,0.4862958663270447,0.5205320982763992,0.4732385377008976,0.0345535635341102,14,KMeans
12,1.3799864530563355,0.3430316621143395,6.944621562957764,1.7881318211066657,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 8, 'reduce_dim': 'passthrough'}",0.0693843613093451,0.0676908548075009,0.0615379674127749,0.064708172414714,0.0749844261007398,0.0653734428852502,0.0697016757686537,0.0695574671864498,0.0636465805577355,0.064542728984023,0.0671127677427187,0.0037234608715721,11,28.971164835072948,27.826312233048824,27.008918423549925,28.012836336784886,31.618111585376717,27.70293046500089,27.970977500679503,29.14805718459861,29.30390513748279,29.192202253056664,28.675541595465177,1.2252161337959806,14,3.3612011705590543,2.9030401820209493,3.475183999790243,2.8432567664508097,3.122676687532829,3.341114600316991,3.087330895494192,2.970503073902629,3.19648630593827,3.1864999832237864,3.148729366522975,0.1955316159874957,32,0.4629690003800803,0.3501491729914293,0.4485173110405501,0.3622218761202663,0.4529816642156831,0.3940631318175692,0.4126718786057117,0.4167392765634097,0.4460834977222191,0.4014091544922056,0.4147805963949124,0.0366816211361082,2,0.5090726604928582,0.4374823292930475,0.4866259745866093,0.4275766612628124,0.5192540388782956,0.4522084409072771,0.4987660510758748,0.4762619758748309,0.4856563975166955,0.4760748260420903,0.4768979355930391,0.0284176767243159,8,KMeans
14,1.6342091321945191,0.4859241874317226,8.037309741973877,2.436535447061174,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 9, 'reduce_dim': 'passthrough'}",0.0657490015521074,0.0650458955284494,0.0707886705360996,0.0605441990992099,0.0749639600372434,0.063576094781886,0.0706829121923147,0.061421704737674,0.0551097049052982,0.0623892702905954,0.0650271413660878,0.0055223197278842,14,27.5199173547967,24.872005342459754,26.348487914730583,26.20342922291702,26.368965472810924,24.619749677544,27.962152378123456,26.52798229013397,26.413061639596386,27.23952962900293,26.40752809221157,0.9980803512044872,17,3.173269056916559,2.8256527994964507,3.2754665463692287,2.821404766823994,3.0138963105200887,3.193316888646548,2.9367576712264767,3.316566695701136,3.3399776365894964,3.1241165758852016,3.1020424948175176,0.1835316839274523,35,0.4367088208950141,0.3789506117001625,0.4896353044945353,0.3395528122769809,0.4357790355554779,0.3924651423119453,0.4091462652836559,0.3927094253614632,0.4124878638873024,0.4044037004330952,0.4091838982199632,0.0377949522614247,3,0.5035308504025537,0.4495895636751316,0.5376068563164713,0.4039183118026774,0.5013103425505413,0.4523480961133337,0.4973764731089126,0.4538314338052321,0.493199442519165,0.4619310801941352,0.4754642450488154,0.0361744983521907,11,KMeans
16,1.3778738260269163,0.3091016005628613,6.852450585365295,1.5438244428130825,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 10, 'reduce_dim': 'passthrough'}",0.0712311214375309,0.0652881105093093,0.0693947910849086,0.0611401754997425,0.0722715328615665,0.042387467878424,0.0712777541600733,0.0503115941599406,0.055197487601301,0.065882270656801,0.0624382305849597,0.0096110592750773,18,26.64665370828616,23.27069357632948,24.51070225777832,24.50760841296437,26.474314753547176,22.552276799325355,26.714539418531952,24.749571494220667,24.282912720202425,24.872424674262376,24.85816978154483,1.329679477665805,19,3.068436232532621,2.984177331005041,3.2137167746496567,3.092642172210636,2.8524691298777043,3.2835160785239053,2.924307116237318,3.2078513810632834,3.36537948080404,3.143385838566944,3.113588153547115,0.1533977241456097,33,0.4518630360958626,0.3498640451058829,0.4479932795388642,0.3542434337462207,0.4424205491988934,0.3533934955473468,0.4338335791927928,0.4113484178065638,0.4104887530065959,0.4004030665631459,0.4055851655802168,0.0382672304962082,5,0.5028884657642515,0.4147572556784467,0.4975744386791208,0.4137090245845701,0.5209690317377699,0.4426092252584109,0.5030856386678982,0.4836344915285566,0.4943143108986815,0.4629652213003838,0.473650710409809,0.0363297235133914,13,KMeans
18,1.3109893798828125,0.2271983890860514,6.706199598312378,1.1348958231391426,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 11, 'reduce_dim': 'passthrough'}",0.0695277214805618,0.0718834833754448,0.0460648892202078,0.0605929625125145,0.0717773098962343,0.0439651210341339,0.0705853449619427,0.0611658943467107,0.0533555064978554,0.0661549544265535,0.0615073187752159,0.0099753568314957,21,24.777471907539965,22.70805231741416,22.800431497132774,22.38391838770021,24.02335442153432,21.04209576662954,24.60959493121868,23.559334327677515,22.25877536467654,23.568062492384243,23.1731091413908,1.0963922277448124,21,3.132156894143713,2.858631391169442,3.1593576315221963,2.9993970543056268,2.666742337517188,3.2035324339869886,2.94778430426256,3.0647937988082274,3.3488034762677983,3.085873686557021,3.046707300854076,0.1815155691951679,39,0.4690723937060054,0.3617370293188917,0.3906561875390065,0.3541920941662951,0.4418741680753724,0.3313895621463815,0.4275728150972634,0.4351723613626538,0.3786640437889642,0.3987849866481961,0.398911564184903,0.0416218298445992,7,0.5133273825856559,0.4380104264990054,0.5087233720076625,0.4144027617989436,0.5198244988718295,0.4304040312605698,0.4929786046914689,0.4727421323351719,0.456286543128828,0.4663792395037623,0.4713078992682898,0.0350158066053748,15,KMeans
