,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim,params,split0_test_silhouette,split1_test_silhouette,split2_test_silhouette,split3_test_silhouette,split4_test_silhouette,split5_test_silhouette,split6_test_silhouette,split7_test_silhouette,split8_test_silhouette,split9_test_silhouette,mean_test_silhouette,std_test_silhouette,rank_test_silhouette,split0_test_calinski_harabasz,split1_test_calinski_harabasz,split2_test_calinski_harabasz,split3_test_calinski_harabasz,split4_test_calinski_harabasz,split5_test_calinski_harabasz,split6_test_calinski_harabasz,split7_test_calinski_harabasz,split8_test_calinski_harabasz,split9_test_calinski_harabasz,mean_test_calinski_harabasz,std_test_calinski_harabasz,rank_test_calinski_harabasz,split0_test_davies_bouldin,split1_test_davies_bouldin,split2_test_davies_bouldin,split3_test_davies_bouldin,split4_test_davies_bouldin,split5_test_davies_bouldin,split6_test_davies_bouldin,split7_test_davies_bouldin,split8_test_davies_bouldin,split9_test_davies_bouldin,mean_test_davies_bouldin,std_test_davies_bouldin,rank_test_davies_bouldin,split0_test_adjusted_rand_index,split1_test_adjusted_rand_index,split2_test_adjusted_rand_index,split3_test_adjusted_rand_index,split4_test_adjusted_rand_index,split5_test_adjusted_rand_index,split6_test_adjusted_rand_index,split7_test_adjusted_rand_index,split8_test_adjusted_rand_index,split9_test_adjusted_rand_index,mean_test_adjusted_rand_index,std_test_adjusted_rand_index,rank_test_adjusted_rand_index,split0_test_adjusted_mutual_info,split1_test_adjusted_mutual_info,split2_test_adjusted_mutual_info,split3_test_adjusted_mutual_info,split4_test_adjusted_mutual_info,split5_test_adjusted_mutual_info,split6_test_adjusted_mutual_info,split7_test_adjusted_mutual_info,split8_test_adjusted_mutual_info,split9_test_adjusted_mutual_info,mean_test_adjusted_mutual_info,std_test_adjusted_mutual_info,rank_test_adjusted_mutual_info,algo_name
0,1.7610973119735718,0.9510575308664786,18.794041514396667,7.72033884436003,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 2, 'reduce_dim': 'passthrough'}",0.0507441947653049,0.0633523758340385,0.0647946241693188,0.0613231879774453,0.0804694164820944,0.0533118574795572,0.0536829229059675,0.0679812658384872,0.052256957994894,0.0722436037651121,0.062016040721222,0.0092638990779548,3,59.23206436955765,59.17507600676219,59.48187857382367,54.69642198821621,56.61046459190347,59.655295778031366,56.683287781553,57.26813031027064,57.91703725190069,59.48339154341952,58.02030481954383,1.585930815756758,3,4.160502130921032,4.083816112810998,4.068751791252788,4.088706164522749,2.5790136198593987,4.133169433394348,4.225216730259026,3.982986151793156,4.183285990326138,2.8554800602885284,3.836092818542817,0.5664092257097669,20,0.1388577878752742,0.2599512132759359,0.2545950205886119,0.2196145949926339,0.0994549075647422,0.1684838129682778,0.2195266051016214,0.2129049439927655,0.1655995832920783,0.1147012522692109,0.1853689721921152,0.0535414545166736,32,0.1756300721871289,0.2957124750556719,0.2853890410021442,0.2824956220976528,0.2266949909202097,0.1992374544656728,0.2534979398587759,0.2708596774753921,0.1843287480014823,0.2188722548590353,0.2392718275923166,0.0419844023973934,39,KMeans
2,4.420192527770996,1.8257682061101488,26.23924586772919,7.89908456940365,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 3, 'reduce_dim': 'passthrough'}",0.0523253079857369,0.040949257037487,0.0746990883407956,0.0662534389942815,0.0698322428991762,0.0424052005294754,0.0525682759915027,0.072209615448324,0.0713861263610938,0.0681630689287622,0.0610791622516635,0.0121333806435239,4,51.46908843965582,47.4714126413298,59.12639109975674,57.55642255171224,57.40424307187164,47.77908933172307,49.96734012259952,59.99355427011962,57.83520978532891,58.82434757065767,54.742709888475495,4.721192815448204,4,3.7623095906117263,3.986070325827824,3.3455117049093226,3.387001953907106,3.3909227963410014,3.999481226334602,3.755072173690715,3.3198749491166857,3.3640732073576403,3.39839292379248,3.57087108518891,0.2606079503811892,56,0.1940385266629886,0.2099788154690689,0.3306570991881682,0.3318183547129951,0.3292633101868343,0.2005446474882966,0.2062256409152496,0.3104981884116577,0.3177963959266289,0.3300621197623979,0.2760883098724286,0.0603640764663834,4,0.2373164821779592,0.2677187646970423,0.3972961772825116,0.3949268659143234,0.4017970099795396,0.2486652858557279,0.254984382011383,0.3649182623509162,0.3839556795948468,0.3930411444455012,0.3344620054309751,0.0682030357276423,32,KMeans
4,5.364616560935974,2.112567811873088,26.045611023902893,10.214081016682378,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 4, 'reduce_dim': 'passthrough'}",0.0629764691073289,0.0591431331436241,0.0581937634314604,0.0543202780196439,0.0635823010578333,0.0576129241022666,0.06380345930909,0.0630780011661202,0.0664642163645258,0.0500309261557313,0.0599205471857624,0.0047821765609409,6,54.04778685070319,51.85652992511328,52.14147756737614,52.55380582561976,38.75415508370492,51.88715146263867,52.59393926443295,53.37502997442183,53.115677870560944,52.47477396543,51.280032779000166,4.225351636232749,6,3.2392386986855093,3.3584993680694444,3.3962832809448797,3.3880387931939584,2.7487124668727603,3.364242250595852,3.2703415446987334,3.281881505845313,3.194313870274099,3.5456847316719595,3.278723651085251,0.2000979862479089,64,0.2861436526854259,0.2936345424364283,0.2922802215022263,0.2082564450156454,0.3348660501509528,0.2953714381176079,0.2983019519907906,0.2962065384474051,0.2774814932726491,0.2646765250623694,0.28472188586815,0.0306332406718242,2,0.3506941248436748,0.3757264680971286,0.3689846880786533,0.3489105118411832,0.3940185156690673,0.3622346325507765,0.3831781094463256,0.3501240633097019,0.3512708869865385,0.3675106475265327,0.3652652648349582,0.0147986872902891,12,KMeans
6,5.0080994129180905,1.381362218975171,25.404319858551027,6.839943599204332,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 5, 'reduce_dim': 'passthrough'}",0.0379451637305827,0.0425876353232789,0.0412139058544792,0.0474053148697325,0.0522354621150599,0.0360934910229041,0.0454910147537512,0.0391428846690269,0.0387622887720443,0.0375696014061417,0.0418446762517001,0.0048630665361527,9,47.72771296308465,44.93887910055127,44.41841896617778,47.54757077538492,40.26531060659911,46.1353647752462,46.1349222371245,47.19369629410487,46.66705465352968,45.46225908669947,45.64911894585025,2.0702269559215534,8,3.506601810846369,3.673525597628141,3.6769862763498784,3.4992574399594667,2.8565587953522344,3.518240722084316,3.568983306409737,3.512831260379111,3.623383222940999,3.636034179246009,3.507240261119626,0.2267061004368354,58,0.2497962121422445,0.2328543749340295,0.2612537261888171,0.2139546430968891,0.2629437728576112,0.2531959661547772,0.256745754977519,0.2546142795994366,0.2196476978131028,0.236996044963892,0.2442002472728319,0.0164877958361711,13,0.3540167101127491,0.3522688825339469,0.3468118505691915,0.3390823518648591,0.3713300950044963,0.3510506846759272,0.3523326652691569,0.3589379121206211,0.3296470704443989,0.3659436598554706,0.3521421882450817,0.0114655917575592,25,KMeans
8,5.029861068725586,1.022111362736523,25.353683876991276,4.898651645841052,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 6, 'reduce_dim': 'passthrough'}",0.0374310530037354,0.0398435442327154,0.0362894011366849,0.0427862984899828,0.0375293323358891,0.0304651532116579,0.032887352321493,0.0408659872741403,0.0416379771763557,0.0423787886889349,0.0382114887871589,0.003909821536719,11,40.62488293649288,39.97967505471049,39.54990126621172,41.94353017526687,37.29445551665192,40.38993379108794,40.434909984229535,41.223212429335575,40.36901330932256,41.47294883665437,40.32824632999639,1.214763245279521,10,3.2578387608962056,3.787198779563395,3.705873171680111,3.730631140419377,3.159460394935182,3.6993895832685775,3.7338004867129815,3.725815333787797,3.7678093729975153,3.6551275686688016,3.622294459292995,0.210785537131739,44,0.2526326936590159,0.2503439440951588,0.2452353457881239,0.2417921637672721,0.2347711568433062,0.240825884017412,0.2333732734796072,0.3364466981969958,0.2933398800742777,0.2478539135451761,0.2576614953466346,0.0307549140678099,6,0.3555647725428104,0.3653970039744999,0.3462311095341834,0.3544326317537889,0.3501299845990084,0.3549997453252058,0.3359242956924028,0.3890851218571203,0.3807386479820343,0.360690480814494,0.3593193794075549,0.0149777043317548,18,KMeans
10,5.5402445793151855,1.9973164147115057,28.41100656986237,8.958535472906384,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 7, 'reduce_dim': 'passthrough'}",0.0349632243432755,0.031138352494832,0.0249256494968822,0.0341213519977016,0.0340086306758712,0.0311915271772519,0.037602590922147,0.0315216330670821,0.0346407654525319,0.0286461693819741,0.032275989500955,0.0034327235495271,13,36.82463910169916,36.45247597038397,34.98775249504421,37.984719664565965,34.96967990334798,35.59004017529092,35.30559057583716,37.38237115258638,35.1813014957039,37.12926954494123,36.18078400794009,1.0530902474213453,12,3.5325891556345224,3.734274379661642,3.915016525567538,3.7999468594121817,3.278544473233672,3.6812989666963616,3.656180226491791,3.7471809090188857,3.6585431125613512,3.5480134070934106,3.655158801537136,0.1650013855833056,37,0.244853097711487,0.2886368707827381,0.2167539156451768,0.2710643744955295,0.2738342200284012,0.2274825112068042,0.226563711801312,0.2487229322716439,0.2975001303951148,0.2705831584045841,0.2565994922742792,0.0263414161577781,8,0.3494637228929146,0.399723926515859,0.3306853777989879,0.3754469376216277,0.3910861081938761,0.3443128644806162,0.3477012868819522,0.3456137911237172,0.3713630600960523,0.3746123105939012,0.3630009386199504,0.0214713636107681,13,KMeans
12,5.003046536445618,1.0380844466168972,24.618303847312927,4.931477604559794,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 8, 'reduce_dim': 'passthrough'}",0.0299535679070506,0.0302120983962046,0.0313296199684794,0.0318317343762727,0.0335086779625431,0.0344601598758511,0.020785769060305,0.0324812753593901,0.0262540298312099,0.030648599895957,0.0301465532633263,0.0037771828639536,16,33.983136322496804,33.55884002317145,32.409927083930846,34.49012150972737,31.98757934194855,32.781792817626666,32.03650048921801,34.16584057981131,34.35715257047305,33.879662318599564,33.36505530570036,0.9214471238409514,14,3.5022244214314813,3.6310410045126575,3.704813296337592,3.88047415994252,3.1584645337372885,3.812827838277169,3.7002985445427687,3.5438602768940157,3.605699798131219,3.622241911964512,3.6161945785771215,0.1874941223252672,47,0.2449025392587603,0.2697913111400333,0.2438423317316353,0.2428443492528245,0.2231423471938708,0.2352588101009474,0.2177227821592696,0.2989909935766075,0.2485770341536114,0.2703374644170926,0.2495409962984653,0.0230236904134867,10,0.3758024862948251,0.3878324825343353,0.3488233108064765,0.3853884605650312,0.3388186163093646,0.3781635558225133,0.3376762701260429,0.3975163237992517,0.3777106820160055,0.3680873088686381,0.3695819497142484,0.0198473737036443,7,KMeans
14,5.671258974075317,1.378699896452324,29.427460026741027,6.481364195898564,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 9, 'reduce_dim': 'passthrough'}",0.0235600445638601,0.0243749333621863,0.0303145181311445,0.0269533503506914,0.0311449665239296,0.0261658827019859,0.0234199307118512,0.0289247706109613,0.0240688791132311,0.0226982462072032,0.0261625522277045,0.0029016198869706,18,31.750142776678047,29.998776838941847,30.39819195509393,31.69741707365845,29.920330745927423,31.027107918157668,31.19827846327517,31.250975752500143,31.19386328158863,30.885350158963995,30.93204349647853,0.6072063825613999,16,3.4950925582109638,3.873752217119888,3.7815490445400375,3.9096857142696586,3.261919876169575,3.508589355400409,3.521049025393413,3.59816874370109,3.871534310476674,3.635898503893208,3.645723934917492,0.1994529099781644,39,0.2282283452965109,0.2433131370804639,0.2676537092565841,0.239840958555988,0.240896672940518,0.2448442798360409,0.2356498131131434,0.274428017089497,0.2433224858328371,0.2389025121874743,0.2457079931189057,0.0135248539914906,12,0.3646445664331686,0.3813506798110999,0.3898998357832731,0.3853535086976349,0.3518350856001949,0.3845321113818274,0.3730204238633401,0.3728217122741259,0.3903015581596542,0.3710438602705064,0.3764803342274825,0.011579202400019,5,KMeans
16,5.835827207565307,1.1117488598338787,29.48638246059418,4.658224649973073,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 10, 'reduce_dim': 'passthrough'}",0.0216628027857742,0.0178976349574056,0.0234331347558223,0.02419530543815,0.0288011318817943,0.0233806787082979,0.0233275624322769,0.0237418898824591,0.0204983608005926,0.0260136070675167,0.0232952108710089,0.0027993367610244,22,29.53763095241832,26.98392289145707,27.15844001617066,28.900503413870403,27.82727030598217,28.028767495093,29.006889139448237,29.204479294166227,29.15098996105143,28.678134128524253,28.447702759818178,0.8480198489139696,18,3.6626810419011298,4.017937578378571,3.770381084543991,3.844044532380733,3.074694340467354,3.697913691471892,3.6758932666488855,3.569984749876826,3.756754174655346,3.612885516426199,3.6683169976750927,0.2318292035873417,33,0.2203185816248419,0.2287371720430326,0.2642104535380509,0.2008895513207282,0.2487325298288226,0.216045408262426,0.2228966466220449,0.2412257663972842,0.2387305084876803,0.2175218142682595,0.2299308432393171,0.017513111618424,17,0.3585631133019593,0.3725180108059844,0.3716245020567087,0.344729250097899,0.3569504394452719,0.366973339194272,0.3600815706306216,0.3550832352682957,0.3871648800777376,0.3438906204308234,0.3617578961309574,0.0125528460060658,15,KMeans
18,6.025170040130615,2.4578740399838384,31.060537457466125,12.494300105113965,passthrough,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 11, 'reduce_dim': 'passthrough'}",0.0177347054446746,0.0178934656964844,0.0173861944308678,0.0215833482193937,0.0303780550688705,0.0184678160153968,0.0246975683999221,0.0213748605027251,0.0193825875946283,0.0254443193522652,0.0214342920725228,0.0040294775861788,25,26.93373876185954,26.11368877819089,25.375656434448207,26.335048756522227,26.52763351430759,26.34413774299669,27.95501848603028,27.181658051589103,26.947513718578403,26.2830272724435,26.59971215169664,0.662075278867468,20,3.732499955021881,3.787898601642084,3.726521286335033,3.58200559022424,3.1656229302096013,3.7651855116973256,3.471058016163772,3.704198699793757,3.6793067731106817,3.645624342569448,3.625992170676783,0.1772743266970278,43,0.2328053564040833,0.200615459705382,0.23582596723184,0.2226029102732276,0.238187901022568,0.2040353702360421,0.2497672070407185,0.2180563526306712,0.2313544427160177,0.2135642802447568,0.2246815247505307,0.0149120172386311,18,0.3641173731699524,0.3541759915276238,0.3539373202397527,0.3693865538421524,0.3559712335964046,0.3589716026874298,0.39102108880891,0.3531215802526458,0.3811494430247119,0.3419160396757323,0.3623768226825316,0.0138581390702917,14,KMeans
