,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim,params,split0_test_silhouette,split1_test_silhouette,split2_test_silhouette,split3_test_silhouette,split4_test_silhouette,split5_test_silhouette,split6_test_silhouette,split7_test_silhouette,split8_test_silhouette,split9_test_silhouette,mean_test_silhouette,std_test_silhouette,rank_test_silhouette,split0_test_calinski_harabasz,split1_test_calinski_harabasz,split2_test_calinski_harabasz,split3_test_calinski_harabasz,split4_test_calinski_harabasz,split5_test_calinski_harabasz,split6_test_calinski_harabasz,split7_test_calinski_harabasz,split8_test_calinski_harabasz,split9_test_calinski_harabasz,mean_test_calinski_harabasz,std_test_calinski_harabasz,rank_test_calinski_harabasz,split0_test_davies_bouldin,split1_test_davies_bouldin,split2_test_davies_bouldin,split3_test_davies_bouldin,split4_test_davies_bouldin,split5_test_davies_bouldin,split6_test_davies_bouldin,split7_test_davies_bouldin,split8_test_davies_bouldin,split9_test_davies_bouldin,mean_test_davies_bouldin,std_test_davies_bouldin,rank_test_davies_bouldin,split0_test_adjusted_rand_index,split1_test_adjusted_rand_index,split2_test_adjusted_rand_index,split3_test_adjusted_rand_index,split4_test_adjusted_rand_index,split5_test_adjusted_rand_index,split6_test_adjusted_rand_index,split7_test_adjusted_rand_index,split8_test_adjusted_rand_index,split9_test_adjusted_rand_index,mean_test_adjusted_rand_index,std_test_adjusted_rand_index,rank_test_adjusted_rand_index,split0_test_adjusted_mutual_info,split1_test_adjusted_mutual_info,split2_test_adjusted_mutual_info,split3_test_adjusted_mutual_info,split4_test_adjusted_mutual_info,split5_test_adjusted_mutual_info,split6_test_adjusted_mutual_info,split7_test_adjusted_mutual_info,split8_test_adjusted_mutual_info,split9_test_adjusted_mutual_info,mean_test_adjusted_mutual_info,std_test_adjusted_mutual_info,rank_test_adjusted_mutual_info,algo_name
1,3.132296109199524,0.0909052547848807,13.989531469345092,0.285038193530183,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 2, 'reduce_dim': PCA(n_components=199)}",-0.0041134590496762,0.2346547560498419,0.0961168073274248,0.0736956633993957,-0.0105995043868793,0.0975993296251655,0.0094631962962523,0.2694325012383493,-0.0141734632262788,0.0100021484978422,0.0762077975771437,0.0971057752658886,1,13.02651474295643,12.897352040388585,12.01330464654646,12.938569122996164,18.12152627285072,14.36606475596666,3.130103344762343,12.152533333936926,15.698059840862957,14.068692455242454,12.84127205565097,3.6795039066446655,30,4.292936295348475,4.224307144460092,2.7174176339090264,4.354954437229347,4.170335561123581,4.15629847736168,4.27453127679383,1.4453166984850685,4.384689486061335,4.432009379843815,3.845279639061624,0.9304615715310848,6,0.0098289621101816,0.0083470779663858,0.0001627510438278,-0.0055519933476158,0.0161952744211965,0.0003190075173871,-0.0003678333239099,-0.0001628098442884,-0.0004833171267845,-0.0011604208030594,0.002712669861332,0.0062263810248615,48,0.1228545415045553,-0.0007079448882456,-0.0007149867780549,0.0660153789308176,0.0924750070335192,0.0842979850009085,0.0007974686381949,0.0004978850694879,8.927792149319945e-05,7.351935043184051e-05,0.0365678131783108,0.0466249995514953,48,KMeans
3,3.12140474319458,0.0780055387212646,13.977036452293396,0.2896080500432851,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 3, 'reduce_dim': PCA(n_components=199)}",0.0449071721496166,0.0740035986542273,0.0048315619433152,0.0425524432670619,0.0012851064182268,0.0047823801071329,-0.0017474338551638,0.224916514792516,0.0870272754226839,0.0082238048893556,0.0490782423788972,0.0659521757312686,27,13.7095232392745,7.676443885952954,9.365217408006478,12.341303028111886,13.922556563058787,8.040431012245529,8.738496251651107,3.821285616600204,7.213981652524569,9.787103596931791,9.46163422543578,2.982402291307616,46,4.080204259481623,4.015645308754144,4.48136935225823,3.937956385840789,4.335780730628653,3.04613051592511,4.152616601513336,1.178536845220682,4.274066775120669,3.5123506138652645,3.7014657388608496,0.931154803730596,10,0.0360473349767187,0.0229049882792956,0.0344761447779437,0.0149981681729923,0.0103699679689581,1.2397195023875989e-05,-0.0030193531032508,-0.0002873682363511,0.0002422089281296,0.0199070452768295,0.0135651534236289,0.0138222616097339,46,0.2200473488315407,0.2059592094343044,0.2316560838812914,0.1781981138099647,0.1246981927423572,0.082602738673074,0.2074635588093548,0.0005932576406562,-0.0007915537892801,0.2350595795136536,0.1485486529546917,0.0873270187703749,46,KMeans
5,2.8054094552993774,0.0618073519824345,13.663501691818237,0.2502402581541847,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 4, 'reduce_dim': PCA(n_components=199)}",-0.0009147149850016,0.0129959600412959,-0.0170794596883708,-0.0161945875390869,-0.0148348423585065,0.0497480479767449,0.0173981711867004,-0.00240776970295,-0.0052099415873011,0.0074660386137192,0.0030966901957243,0.0192720760501579,28,11.019040368936729,19.99250513591222,9.755365643328378,9.151414802718588,21.13120417533108,11.290622692693816,11.667521159705055,10.157066407862928,9.238249676208977,8.680615953625034,12.208360601632284,4.284807198950952,33,4.4600815128282845,3.5165243236121926,2.567558582765922,4.296701473087781,2.943754388762642,3.7742275015402633,3.859085862268592,3.765229035788394,3.4727624129644905,3.566135099560153,3.622206019317872,0.5353392779194918,13,0.0400057663920599,0.0240236881572569,0.0167666599021528,0.0082293612200879,0.0379997527511639,0.0196159684095882,0.0178089796992305,0.0333869125851698,0.0331187443787359,0.0203097085875642,0.025126554208301,0.0099144014023046,45,0.2267226823731311,0.2269213400868847,0.1653705477861077,0.196408547759457,0.2152429703442736,0.2420962583555074,0.2384849236694329,0.10319384871978,0.2121329158634902,0.150105130944831,0.1976679165902896,0.0425326235473251,43,KMeans
7,2.691484260559082,0.0806931937517426,13.613620257377624,0.14491267014832,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 5, 'reduce_dim': PCA(n_components=199)}",0.0047821160414502,0.0037012997386844,-0.0259496355018171,-0.0300305646285278,-0.0172397502590428,-0.0155638367886251,0.0285629445186633,-0.0098615260731575,-0.0335117904083954,-0.0259054273498564,-0.0121016170710624,0.018422703531318,32,18.596246429220336,18.8086416429024,7.277487024211014,19.619804496174385,8.760520613862226,9.156775637653364,9.582780323700838,8.22597278933035,13.50980683278798,10.09787509334864,12.363591088319154,4.62029882365722,31,3.491759188274513,3.934397791009979,3.659915110618353,4.578504114278218,3.619190957261876,3.931867079682397,3.967008768517019,3.51391470771266,2.931797427086228,3.278373961985438,3.690672910642668,0.4248447319624754,11,0.1128781241154027,0.0269286940244691,0.0315025997121202,0.0110393902706884,0.0252094449714326,0.0680478968297908,0.0373360466962161,0.0307177010499655,0.0230648532220523,0.0219841879963225,0.038870893888846,0.0284434972710849,43,0.228332959625471,0.2305782083049848,0.155248103398872,0.2429509640629429,0.2375393696320187,0.2471095791187076,0.225058513525857,0.2065640387671714,0.2210667956479748,0.2067424027852883,0.2201190934869288,0.025152184908322,41,KMeans
9,2.8214102029800414,0.0506134908547261,13.809770917892456,0.2822664645618114,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 6, 'reduce_dim': PCA(n_components=199)}",-0.0073009707538568,0.0024031576025139,-0.0395247436665942,-0.0029498480136756,-0.0336729760023625,-0.012557574487295,0.0033048773732304,-0.0159614062030071,-0.0232101388854742,-0.0147612059011845,-0.0144230828937705,0.013651327931921,35,16.607140205153318,8.848564299263293,9.060493758938868,8.172668159363763,18.1280246341058,8.551928974779402,8.699945105266139,7.166235912506675,13.475627141937055,9.177231953956609,10.78878601452709,3.655394271431019,41,3.3812894098086512,3.753445772867822,3.2688677650424154,3.8666146936878327,4.211284451456826,3.777849942958316,4.155011994430416,3.509704477890495,2.915630746760194,2.9629581091334263,3.580265736403639,0.4294056347290847,14,0.0337778083034934,0.076898914702388,0.0421118140170882,0.0943126651470755,0.1044462184903409,0.0874741836972828,0.1045138277013487,0.1160613724253896,0.0202103532905124,0.0338020776932199,0.071360923546814,0.0336214508396063,39,0.2433155691828623,0.2822837875212766,0.2569772013708989,0.2068750350196286,0.2538210920241422,0.2016103890714859,0.2435306491468394,0.1740849560816244,0.2453058588500638,0.2142869019984957,0.2322091440267318,0.0304775078486436,40,KMeans
11,2.8244405031204223,0.0156916844572349,13.8043603181839,0.1305214575265138,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 7, 'reduce_dim': PCA(n_components=199)}",-0.0269070998424757,-0.0189949044190815,0.0058518086007695,-0.0196053845999743,-0.009026256873792,-0.0222858119666191,-0.0100114070135437,-0.0114642575905271,-0.0627474692270179,-0.0241317804383656,-0.0199322563370627,0.0169110634803054,40,7.174960761821216,13.901756387163294,6.799297112256604,14.688250343035492,15.053075562244675,14.042388419914593,14.58338511519189,6.300443474593523,13.05734656862816,16.001971107761445,12.16028748526109,3.615244933057836,34,3.340432694639685,2.6241318275111998,2.9220619804966788,4.300809166896937,3.759053376703213,2.881967769235445,3.9585231078032153,2.736720330456057,2.555712118277896,3.2054063242543736,3.2284818696274704,0.570181578745998,29,0.1174664649941494,0.0280235745530203,0.0295718032634034,0.088295168119608,0.1080579370601742,0.0351209457854892,0.0863732040813009,0.0461200868939716,0.1048765057954954,0.0342113349791913,0.0678117025525804,0.0345497288868519,41,0.2139598561146808,0.277276076230367,0.2150285072383005,0.2343541625708481,0.2201180036418537,0.2376269660040052,0.2469886692854893,0.2367807825903021,0.2027354420348663,0.2613540058822639,0.2346222471592977,0.0217683586973578,39,KMeans
13,2.7210506916046144,0.0621465011991513,13.615867447853088,0.1985068417280374,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 8, 'reduce_dim': PCA(n_components=199)}",-0.0334225974343455,-0.0145523439808328,-0.0089267559772761,-0.0272730675302074,0.0110829289163539,-0.0181537160970128,-0.031837878854416,-0.0129681781672363,-0.0092931493294167,-0.0281625245411809,-0.0173507282995571,0.0128669091220168,39,14.25271298072167,13.469887337472272,11.652663627232632,6.222990283838012,12.967446673386588,6.627474930441611,6.953990306270972,11.341256330844631,12.156219299715836,6.27772118521936,10.19223629551436,3.106681304957506,44,2.6326393558164765,4.055930559835071,3.360024080778085,4.083048912513124,2.98500296661966,3.164388864567869,3.7283325803768217,3.19836475677844,3.3218193020891444,3.007843860005264,3.353739523937996,0.4474297365259587,21,0.1047413523022183,0.0749508149824262,0.0948708695983794,0.1054683375527596,0.1057739251148903,0.0782267891042365,0.0936435830802955,0.1163653109260978,0.0416349039725073,0.1047385359063255,0.0920414422540136,0.0207782166957293,34,0.245398701092691,0.2710545728334676,0.1909029814228681,0.2605893137268663,0.2321424246960241,0.2599699774649826,0.2599391276390776,0.22029957215843,0.203337304260537,0.2182894068290312,0.2361923382123976,0.0259705735975428,37,KMeans
15,2.7900880336761475,0.0776994507317882,13.65397539138794,0.2114592045303785,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 9, 'reduce_dim': PCA(n_components=199)}",-0.0106118024432664,-0.0198396455422129,-0.0079044688151005,-0.0174074681381586,-0.0127533893105582,-0.0401981104509407,-0.0005021315478134,-0.0173370102952672,-0.0114363695242255,-0.0347060785457289,-0.0172696474613272,0.0114191888805612,38,11.647056278132704,11.317806117650994,11.95820835357145,12.054424286369189,9.562171904191349,11.883750207529785,12.5555968718159,12.281915191196456,11.97699360321202,6.25312070951628,11.149104352318613,1.8090402717405951,39,2.8771360464192037,3.6298368513518735,3.7816198800933023,3.3048437675989994,3.4882036616957213,2.878112990476874,3.3257804081308078,3.386466674096965,3.5236999524756456,2.469782080008807,3.2665482312348195,0.3833081110625085,28,0.1097323404482066,0.0701410549377412,0.1002133079428541,0.1036390496348035,0.1104113030232344,0.0314338433211013,0.0957543983970099,0.0340858117157624,0.0844339036267633,0.0339638226621725,0.0773808835709649,0.0310786380802689,38,0.2272928369141892,0.2466934922125983,0.2485398739019591,0.2024042559586259,0.2497593023314705,0.2756333671053929,0.2438762154826554,0.1788910691760027,0.2126236297399774,0.2714536908849339,0.2357167733707805,0.0289176270974754,38,KMeans
17,2.7312950611114504,0.0841400249627119,13.623547005653382,0.2067896229765374,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 10, 'reduce_dim': PCA(n_components=199)}",-0.0231216551792504,-0.0218617700566889,-0.001104280971122,-0.0223222521395964,-0.0203439143365438,-0.0219223035826248,-0.0337539464587898,0.0085118697161258,-0.0319964784269585,-0.0020028442981815,-0.016991757573363,0.0132622816305691,37,10.610189818382954,11.297093500372448,10.146820506540951,11.59729708077996,11.523601640098349,11.672731822161856,11.021063659665634,10.023515274863536,9.88125086502146,11.256188023072982,10.902975219096012,0.6502831924443392,40,2.986734551003458,3.4567137163934007,2.999695494873749,3.0890284946696704,2.9279950971055486,3.105523736997573,3.1115221265192523,2.745442583808277,3.165744031232075,2.828521154412124,3.0416920987015126,0.187013355632604,40,0.1117983718938798,0.0822107355604351,0.0941310506997531,0.1079910923762837,0.103498636882353,0.1123576147049404,0.0680125230326736,0.1226571967086721,0.1006146229497255,0.0133830867248863,0.0916654931533603,0.0301059584824587,35,0.2572406919295411,0.2286792109964121,0.2489330198407556,0.2443893855774014,0.2864993255119262,0.2276145256788566,0.2485543144851434,0.2405465995043886,0.2285622078793515,0.2320434876730398,0.2443062769076816,0.0170944978124429,33,KMeans
19,2.732728147506714,0.0398985208164071,13.664306211471558,0.2050563601457626,PCA(n_components=199),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 11, 'reduce_dim': PCA(n_components=199)}",-0.0141049522902916,-0.0330927901659253,-0.0351718021647882,-0.0213169344203919,-0.0129012609480136,-0.009405799929898,-0.021578872224323,-0.0194989254322301,-0.0426085353875837,-0.0494612416421075,-0.0259141114605553,0.0127781344932978,47,10.259549030724957,10.007115091072926,10.492792501012769,10.176054864747815,11.023994912878988,9.218206413549115,10.482931846820426,9.794844933239206,9.532879081750869,5.656841753060287,9.664521042885736,1.422395825900703,45,2.514011888941317,3.3533616281677783,2.7116455856658237,3.225177581619593,3.0838417509699143,3.5510327742128127,3.2375978052810823,2.9995791126682336,3.2627712125202417,2.3976559761702405,3.033667531621704,0.3581275685956789,41,0.1002134349440939,0.0972285800648379,0.0932857722947974,0.0880485163898856,0.1084332170776869,0.0254660061377847,0.0963852064137758,0.0369813140898375,0.0761126518830418,0.0882308285666425,0.0810385527862384,0.0263063795054074,37,0.2565572513457633,0.2627953990588533,0.2605383291666259,0.2513075758701903,0.2267467295502904,0.2365158888751009,0.2222801275115513,0.2171664826923057,0.1999249543240648,0.2674512783975839,0.240128401679233,0.0217394243959333,34,KMeans
