,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim,params,split0_test_silhouette,split1_test_silhouette,split2_test_silhouette,split3_test_silhouette,split4_test_silhouette,split5_test_silhouette,split6_test_silhouette,split7_test_silhouette,split8_test_silhouette,split9_test_silhouette,mean_test_silhouette,std_test_silhouette,rank_test_silhouette,split0_test_calinski_harabasz,split1_test_calinski_harabasz,split2_test_calinski_harabasz,split3_test_calinski_harabasz,split4_test_calinski_harabasz,split5_test_calinski_harabasz,split6_test_calinski_harabasz,split7_test_calinski_harabasz,split8_test_calinski_harabasz,split9_test_calinski_harabasz,mean_test_calinski_harabasz,std_test_calinski_harabasz,rank_test_calinski_harabasz,split0_test_davies_bouldin,split1_test_davies_bouldin,split2_test_davies_bouldin,split3_test_davies_bouldin,split4_test_davies_bouldin,split5_test_davies_bouldin,split6_test_davies_bouldin,split7_test_davies_bouldin,split8_test_davies_bouldin,split9_test_davies_bouldin,mean_test_davies_bouldin,std_test_davies_bouldin,rank_test_davies_bouldin,split0_test_adjusted_rand_index,split1_test_adjusted_rand_index,split2_test_adjusted_rand_index,split3_test_adjusted_rand_index,split4_test_adjusted_rand_index,split5_test_adjusted_rand_index,split6_test_adjusted_rand_index,split7_test_adjusted_rand_index,split8_test_adjusted_rand_index,split9_test_adjusted_rand_index,mean_test_adjusted_rand_index,std_test_adjusted_rand_index,rank_test_adjusted_rand_index,split0_test_adjusted_mutual_info,split1_test_adjusted_mutual_info,split2_test_adjusted_mutual_info,split3_test_adjusted_mutual_info,split4_test_adjusted_mutual_info,split5_test_adjusted_mutual_info,split6_test_adjusted_mutual_info,split7_test_adjusted_mutual_info,split8_test_adjusted_mutual_info,split9_test_adjusted_mutual_info,mean_test_adjusted_mutual_info,std_test_adjusted_mutual_info,rank_test_adjusted_mutual_info,algo_name
1,9.491491746902463,0.4891189716511683,56.1504271030426,1.3324522423954424,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 2, 'reduce_dim': PCA(n_components=242)}",0.1254798374253948,0.0585712110819699,0.0666491081106425,0.2216046681438939,0.0579927721432579,0.0601665213099787,0.0599621355998847,0.2018647564167039,0.0525917119382285,0.0636434782528669,0.0968526200422822,0.0608823445815531,1,7.744025639700769,10.18403658881786,5.910046530838362,9.366649322577397,7.616537666806718,10.622478838192352,4.155994386028867,2.1355061385613987,9.45584808642808,12.776121825324138,7.996724502327593,3.0363630654068525,52,2.2838222292208123,3.911756770443549,2.193290163730076,2.533921315073867,4.476695763617808,2.3690620971410508,1.5220428750380404,0.6750473933270178,2.303263023088499,2.2775494062607877,2.4546451036941503,1.020487807691961,68,0.0018825888800169,0.001066810830507,0.016329083960703,0.0114325579621972,-0.0128538147189943,0.0147127109189473,-9.666671829657466e-05,0.0005290593766246,0.0103323417211907,0.016560804765264,0.005989547697816,0.0089792481765436,68,0.0029991330586035,0.046392144973932,0.049935045142427,0.0008428082713507,0.0401104891326588,0.035208409227245,0.0452550194331877,0.0006459991103534,0.0278888844987697,0.052723073483523,0.0302001006332051,0.0199735176287118,68,KMeans
3,11.473587107658386,0.4048584291745534,56.6689523935318,1.125392937779052,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 3, 'reduce_dim': PCA(n_components=242)}",0.0481019368524442,0.0002496213610029,0.0322465664563243,0.0256117834163723,-0.0018466770421429,0.0454295995805228,-0.0163539645468806,0.0599229971828889,-0.0011822454908803,0.049903978866342,0.0242083596635993,0.0256251783501435,20,10.475444595004587,5.273731405588868,4.63702963852426,8.401207698381839,7.524788650505073,6.434841223205319,9.77427795113804,7.305045820764259,8.558699203510937,8.10453934769612,7.648960553431929,1.7443698400386698,56,2.318449169665722,2.9011674129567484,2.006591993099244,3.4179420115543864,5.075105666020884,2.258226744767528,4.496824643225325,1.8358252791064156,3.548073551397,2.0924773084191712,2.995068378021242,1.058849901212335,66,0.0293660330396586,0.0139838439019977,0.0319021500124315,0.0227624954402366,0.0138304386368866,0.0123931178299434,0.0297137184686256,0.0151379016765117,0.0236095781534197,0.018277462567023,0.0210976739726735,0.0070077174855968,60,0.0515419916877572,0.0706122198163515,0.0468780590393271,0.0651680262571701,0.0409953505105986,0.0352944600953125,0.0829165380244138,0.0375324719569274,0.0264531347436905,0.0945287621507288,0.0551921014282278,0.0211447808620013,66,KMeans
5,11.213102197647094,0.3623129681527463,55.91580474376679,1.0137842618928612,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 4, 'reduce_dim': PCA(n_components=242)}",0.0395862362895332,-0.0279023931972814,0.0182598382213355,0.0214698136933686,0.0196032945037219,0.0410534899876219,0.0083585308757325,-0.0393592452017011,-0.0194392658799204,0.0229264996085063,0.0084556798900917,0.0264900092046557,39,6.723772056203512,7.945639946005597,9.187561417944606,7.579136210277287,8.694876378805906,4.894551168488192,16.15232934648356,5.332192938219234,7.089281189805721,7.572560536999765,8.117190118923336,2.9630770012996868,51,3.098582222083835,4.26431926790977,4.377856817861435,2.8111220725239257,4.423301186197348,1.868989729052802,3.526077814812268,1.5465728376751795,3.107610567564742,3.0150237701897464,3.203945628587105,0.9398102140591084,65,0.0314607411396107,-0.0067675076600168,0.0216055156035674,0.0222891329133711,0.0125091358263246,0.014362773598718,0.0123945833397923,0.0151601506901726,0.0017810251465766,-0.003104243535159,0.0121691307062957,0.0113019277569022,66,0.0511976298182771,0.0680019198138247,0.085704937144175,0.0578032373967861,0.0520496201196419,0.0724038753293499,0.0863066446429436,0.0606852794425752,0.0649998498506876,0.0948997179468491,0.069405271150511,0.0144050455810077,65,KMeans
7,11.133227109909058,0.15216508192308,57.23921327590942,0.7306923358001062,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 5, 'reduce_dim': PCA(n_components=242)}",0.0269193059310745,-0.0290640468785682,-0.00062327279819,-0.0599928642404776,-0.0317337065654554,0.0074605817692241,-0.0430419180739669,-0.0311227677052037,-0.0251301204918831,-0.032223720488752,-0.0218552529542198,0.0243848153089336,40,5.593399573658703,6.35381298277332,8.0471930927709,6.752472214473939,7.406631502341952,6.193051494583412,8.050077827485987,12.505463931296555,6.781651452322721,7.617250368576044,7.530100444028354,1.8276183055724675,58,2.9318383659201226,4.096922182476543,3.834471080315157,4.298514975809188,4.34980267361877,2.5902562701687084,4.381250506475071,2.826594558965613,3.877828815912776,2.641727145042412,3.582920657470436,0.7084578278982921,55,0.03139656348576,-0.0022536563715154,0.0254480822548279,0.0081045306173081,0.0134536140892424,0.0179149045265408,0.0144439900619375,0.0261850829858542,0.0111295170141339,0.0092835275629688,0.0155106156227058,0.0095110487954872,62,0.0488475648286629,0.1344239368990415,0.0786999361054136,0.0950301309863373,0.0793172351458335,0.0710941033297162,0.0819587353779818,0.0721628557273845,0.0627420545185448,0.1020594219567402,0.0826335974875656,0.0224057340614217,63,KMeans
9,11.241642618179322,0.3661003669778025,56.76579999923706,1.1938163197734888,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 6, 'reduce_dim': PCA(n_components=242)}",0.005932072744729,-0.0391169109894938,-0.0289791027431001,-0.0240637653235582,-0.0623397540443786,-0.0275711163010845,-0.0395757410928904,0.0038527697035601,-0.0445646158423146,-0.0289080170892788,-0.028533418097781,0.0197276173659472,42,5.8060572619262105,9.965596838598737,13.3424570612862,5.929553111443886,6.5861067965893705,5.94487138677851,12.286402006887434,4.710222739340973,6.304533034146438,6.58621907297457,7.746201930997232,2.8487423151354183,55,2.461053435931738,3.7751999932344606,5.083857662616553,3.658298965590219,3.6220845462177422,3.2118998260524307,3.767269910312027,3.5542643440326143,4.4581402499660365,3.4118716582761244,3.7003940592229942,0.6622170627028714,28,0.0312872736095438,-0.001429321039377,0.0188567799224323,0.0122125142395046,-0.0065859245414255,0.0229086828941719,0.0149095920085987,0.031085803510922,0.01703886597908,0.0135484460295474,0.0153832712612998,0.0116185126678077,63,0.0847180895147031,0.129752434877987,0.0926459679734571,0.0916375108933374,0.0765993396548496,0.1020691396360147,0.1293405441016006,0.068008062182851,0.0937017160373743,0.097526360480554,0.0965999165352729,0.0189977962799046,59,KMeans
11,11.327650308609009,0.3920428189544005,57.17822086811066,1.1212401753070331,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 7, 'reduce_dim': PCA(n_components=242)}",-0.0625454135711113,-0.0486434006873609,-0.0451892600488274,-0.0601823781271017,-0.0437072510480093,-0.0383696278928498,-0.0486812695240736,0.0036586545228227,-0.0705877224860219,-0.0634180707377961,-0.0477665739600329,0.019738093442082,46,4.085137353581147,5.288452998080784,11.789139723509647,6.167000264655154,5.972239795965495,5.50477247533892,6.547962683393368,4.615591201574524,5.75938780759624,5.917923059648557,6.164760736334384,1.999276557154075,67,1.5393070680179413,4.516419598646094,3.777568792456612,4.146241441299987,5.06374698030671,2.172854239266996,4.196784270262769,1.983674884115896,4.081328725481055,3.882945318308444,3.53608713181625,1.132918181824647,57,0.0274581647354872,0.0083347198961894,0.0746221297556953,0.00726750864333,0.0468575462421673,0.0193043084874267,0.0064335091357228,0.026576225848824,0.0088486521679884,-0.0062924400876765,0.0219410324825155,0.0225043850553321,59,0.1009885685593901,0.1341707364755701,0.0901328771361748,0.0909402556716197,0.0840881796545806,0.1345068540565629,0.0918359336098086,0.0755973952750111,0.0911145057618046,0.0933288467603537,0.0986704152960876,0.0188676496138584,58,KMeans
13,11.007199144363405,0.3091186718914169,56.43015553951263,0.7752363689129237,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 8, 'reduce_dim': PCA(n_components=242)}",-0.0523613422171591,-0.0351002824037653,-0.069677703217183,-0.0586329044337422,-0.0361834891746202,-0.0294973861886476,-0.0241481194212665,-0.038256580370684,-0.0682008050877134,-0.0298560211312115,-0.0441914633645993,0.0158317893965639,43,10.642011737567127,5.185880917692014,5.511023709493481,5.225772292468873,10.363177528826212,5.294212936967865,5.300418957696745,4.91912811520437,8.871860334961418,10.801779383403108,7.211526591428121,2.46717329373496,61,3.343472244230255,3.9944426436825258,4.5401274353009455,3.891899576795284,3.2277594660138864,3.352332764380188,3.4941655954172512,4.2076700791889605,4.371672262570883,3.807240192164428,3.8230782259744607,0.4372173368339296,21,0.0175139781183808,0.0485544367499396,0.0116672004981051,0.0192423730130872,0.0105871929200325,0.003882604724933,0.0507615935364403,0.0578675606908861,0.0623005970522782,0.0809921287702209,0.0363369666074304,0.0254176324031729,56,0.0983145732338343,0.1403717295018517,0.1740371581427644,0.0904105523212534,0.0780873378874622,0.164528030612514,0.1156478755776765,0.1884748693377651,0.0919650773380422,0.0993865890808105,0.1241223793033974,0.0376416125206949,56,KMeans
15,11.04275221824646,0.2226241745872889,56.29437694549561,1.2260971718278129,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 9, 'reduce_dim': PCA(n_components=242)}",-0.0513596060808302,-0.0595009926155762,-0.0636454157606576,-0.0837595409490031,-0.0393354608552983,-0.057609992623396,-0.03536856647399,-0.0472370978747045,-0.0598555705895845,-0.037486451262071,-0.0535158695085111,0.0139337217335352,54,5.191292220395848,8.751148489022084,8.588017056564066,9.287267070167283,5.188845784283997,8.782103500558598,8.989567130217551,9.112498841032457,8.578890563925057,5.210320488443936,7.767995114461089,1.6960606738027892,53,3.855701679409707,3.878092752910314,4.033484760745029,3.43219601478714,3.4115075521846463,4.202794699451903,3.628901735831636,3.455054439927725,4.165925583206114,4.732247684965462,3.879590690341968,0.4000085706823048,18,0.0085320808154336,0.0321811703240923,0.0780302915313307,0.100353443641653,0.006312050113949,0.0163993865054584,0.0097339257994229,0.0658493294682139,0.0467104908134896,0.0083227748502562,0.03724249438633,0.0322315593526556,55,0.2116290919412582,0.1876104093187618,0.1806839148253748,0.126697432782151,0.1488752644897248,0.1913039780050565,0.1380241302812043,0.2675458191460383,0.0928395797160038,0.1462316539271322,0.1691441274432706,0.0468843926454776,49,KMeans
17,11.245282506942749,0.4037258799723099,56.52350778579712,1.0237426678784771,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 10, 'reduce_dim': PCA(n_components=242)}",-0.0736444088398531,-0.06148235365779,-0.0498894656394995,-0.0573658697519279,-0.0463059087249866,-0.0783861771317451,-0.0533008271733679,-0.0698547245143293,-0.0150862088245215,-0.0381121189732859,-0.0543428063231307,0.0177239739899808,56,8.829393321400287,7.571284558899414,8.524271273917432,4.84278623805881,4.994918344245529,7.402067210700752,8.24430324557763,7.753268332555173,8.330948882523037,8.391051386231394,7.488429279410946,1.3516120603166837,59,2.9115245862252994,3.899671735114442,4.574877596163052,2.880056863813984,3.3812888407244195,4.519333466910046,3.577348786668847,3.510995823529906,4.3805143829122,3.8470022295743433,3.748261431163654,0.5817514667062147,23,0.0167291157597114,0.0501303019682504,0.0018053199940193,0.0469799461866867,0.0039058026918083,0.0704655821985403,0.0675041359024972,0.093608110027405,0.0344665344235321,0.0489984854651513,0.0434593334617602,0.0282929004049588,54,0.0954613957002827,0.1384808080075162,0.155898419712135,0.0972210387283343,0.1147993753953138,0.1497023261119968,0.0906914201536339,0.1511547467606945,0.1208632975560026,0.1701641480444989,0.1284436976170409,0.0270080978381112,54,KMeans
19,11.123157596588134,0.3740766276721026,56.20328044891357,1.275903098783607,PCA(n_components=242),"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 11, 'reduce_dim': PCA(n_components=242)}",-0.0572650528247355,-0.0495319256451447,-0.0727654875996805,-0.0252104640637339,-0.0631016153202496,-0.0569123706484948,-0.0401408224754699,-0.0450079394631014,-0.0749137232959019,-0.063554537950052,-0.0548403939286564,0.0144826476144355,58,4.458301917092721,7.453025228194505,12.24958826428014,3.977357827611205,4.3636882188140245,7.528497896397797,7.640668898243574,3.759449994960721,7.398059654957209,7.514145633166053,6.634278353371795,2.46142943120748,65,3.0643650026156832,4.27035403016415,4.043056795697333,3.7048719133721777,3.0175348710252607,2.582929440752832,3.843406071384494,3.889466768946599,4.096724068261093,3.36277257025955,3.587548153247917,0.5255257997485953,52,0.0758757713578071,0.0097683976948211,0.0466588307424179,0.0443364644040469,0.0697232169463105,0.0089377195474344,0.0836049634282372,0.1603782710378289,0.1606536873741366,0.1098907425588008,0.0769828065091842,0.0512538486013147,49,0.1695914272900965,0.1475166936055471,0.1473839041978328,0.0795508392519436,0.0821871359803128,0.140085279136374,0.0936361068851686,0.1545828075267075,0.1257217868965582,0.1426017283685791,0.128285770913912,0.0303047594217542,55,KMeans
