,Algorithm,,,,,
Partition-based,KMeans,0.066114823469272,97.01491150606462,3.593282173252554,0.257332696918501,0.3804247670147241
Partition-based,KMedoids,0.1353677941144395,106.55914542245188,1.0952149857148212,0.2694265065656365,0.4012129502178635
Partition-based,AffinityPropagation,0.0226194155174761,20.76428562360625,0.4809654758114525,0.1616037587270918,0.2872132025266032
Hierarchical,AgglomerativeClustering,0.2687227679201423,104.25992489897467,0.6018264135043444,0.2831672554222339,0.3853482582750925
Hierarchical,Birch,0.077843717337165,13.4513421349735,2.276592491312619,0.071533008824412,0.1290392107050486
Distribution-based,GaussianMixture,0.0003188937607143,18.210679615162995,6.566760086791129,0.1062194826349488,0.133866897707037
Density-based,DBSCAN,0.2797085595229785,66.54303223108688,1.870428095601373,0.0592887018573645,0.1339927960096233
Density-based,OPTICS,0.2387181909061583,15.47343566900224,1.216310498278887,0.0029558873093978,0.0122655496715772
Model-based,SOM,0.0437859197481167,102.46963290592052,3.97469251994026,0.2444322122853694,0.366248725561104
Graph-based,SpectralClustering,0.1981087745250034,109.14807531438616,0.6702223382189284,0.2992553729988437,0.4270922056524623
